AT	V	AP	RH	PE
30.24	68.24	1009.68	64.67	426.25
23.58	70.04	1010.95	76.32	435.47
31.01	71.37	1003.4	55.06	430.82
23.49	49.3	1003.35	77.96	442.76
26.93	56.9	1006.25	77.79	444.7
29.63	66.75	1018.08	58.46	433.26
24.62	58.66	1011.43	56.61	449.8
31.27	69.13	1009.45	57.01	425.48
25.08	61.02	1010.01	73.21	437.31
30.74	73.67	1005.79	57.89	428.92
31.86	69.59	1008.61	59.74	435.72
22.38	71.85	1009.56	74.91	441.47
27.44	58.9	1003.86	66.74	442.19
26	69.89	1015.12	73.06	433.5
27.62	63.9	1013.11	43.56	442.89
22.61	45.38	1013.92	62.91	459.53
21.6	66.86	1013.02	54.19	450.84
32.51	73.56	1007.06	59.6	435.23
24.44	59.14	1016.74	71.82	443.5
24.33	46.93	1013.61	53.02	450.04
21.89	45.38	1014.42	68.95	459.45
29.39	71.14	1010.97	53.88	430.5
28.14	61.47	1009.69	64.66	435.35
22.64	63.73	1013.88	84.22	447.21
28.54	69.59	1008.84	78.62	433.3
23.45	51.95	1005.23	76.17	449.07
25.84	67.83	1009.26	59.55	433.32
28.38	72.39	998.93	73.85	432.02
31.84	77.95	1014.9	55.35	433.28
32.31	62.04	1010.41	39.39	450.13
30.33	68.67	1006	54.99	435.53
28.5	73.77	1002.82	86.38	431.7
22.8	69.23	1011.8	76.95	439.3
26.38	71.73	1010.04	69.45	431.66
24.44	69.84	1005.34	80.37	430.3
25.71	52.84	1006.32	53.29	445.54
26.13	71.64	1004.16	87.18	439.73
25.72	47.45	1007.74	58.35	442.78
26.52	77.17	1008.71	92.32	432.48
28.51	76.09	1007.88	78.2	438.28
21.92	48.14	1013.44	67.8	449.65
33.37	71.37	1003.75	45.26	432.67
25.03	59.21	1017.28	56.96	446.33
20.45	59.8	1015.13	79.21	452.96
32.5	71.37	1003.75	43.8	433.7
27.88	63.87	1017.79	40	443.24
31.5	74.16	1011.72	56.42	436.43
23.79	58.59	1013.94	72.5	443.19
20.37	69.48	1011.04	84.31	445.81
22.85	60.29	1017.29	61.92	448.58
24.65	52.36	1014.76	66.63	455.68
23.03	44.89	1010.26	59.85	447.81
29.35	71.58	1010.07	61.8	434.45
28.31	74.33	1011.89	69.77	428.46
23.21	62.44	1011.78	76.66	442.47
20.46	66.05	1014.93	78.51	454.06
21.85	69.94	1010.89	79.4	443
21.75	59.8	1016.65	72.94	453.17
21.44	48.98	1014.4	54.22	454.5
22.89	73.11	1006.66	73.11	440.15
23.63	58.62	1016.45	69.97	445.51
24.39	63.21	1012.59	80.88	446.4
30.17	76.86	998.23	73.61	430.3
29.34	74.34	998.58	81.55	430.57
21.26	51.43	1009.96	80.66	455.45
28.37	69.13	1010.44	71.93	425.29
28.84	75.6	1018.41	53.96	442.69
25.99	71.32	1007.17	83.23	432.41
31.02	70.4	1006.24	77.86	431.37
26.85	63.56	1013.25	52.84	444.39
28.16	71.94	1007.69	68.17	430.46
30.74	69.59	1008.69	68.04	437.81
22.32	47.93	1004.07	86.95	440.21
30.67	71.29	1008.36	52.08	430.28
22.7	60.84	1019.15	71.48	438.59
27.58	57.19	1007.88	52.95	435.7
23.83	64.15	1020.93	63.86	447.95
30.85	67.45	1014.53	32.99	430.8
26.35	59.87	1013.24	73.63	447.26
31.97	69.04	1008.5	47.69	441.18
30.47	70.02	1009.65	62.03	435.72
21.81	43.77	1011.97	64.72	453.13
30.82	76.2	1007.47	59.3	432.22
29.23	72.99	1007.04	63.47	431
22.32	69.48	1011.1	77.86	439.49
20.48	60.29	1017.16	72.1	455.51
23.76	51.19	1009.69	70.87	442.9
25.45	57.32	1011.7	47.09	441.3
28.51	74.78	1009.84	59.06	434.43
24.22	62.08	1022.53	60.79	449.11
24.37	73.42	1010.19	76.01	440.29
28.18	67.17	1006.84	75.55	438.49
23.27	67.9	1006.17	71.01	447.25
30.24	73.9	1006.74	56.39	441.31
23.55	51.95	1006	76.46	449.54
31.35	70.8	1010.11	66.37	432.19
29.76	57.19	1008.59	51.1	436.21
32.31	77.95	1010.15	62.17	430.15
30.96	64.44	1013.63	49.64	437.61
29.6	69.82	1010.49	61.66	438.47
27.94	49.16	1004.22	35.46	436.75
24.57	66.54	1004.44	83.15	432.41
22.68	50.78	1008.83	70.3	447.69
21.18	44.57	1007.27	73.67	449.93
25.72	70.47	1010.44	70.57	434.94
24.14	60.07	1016.56	58.08	440.17
24.53	74.78	1009.9	78.34	446.3
21.76	60.27	1018.96	85.06	446.86
21.19	74.93	1015.75	80.84	443.29
21.96	69.94	1011.09	80.27	441.15
23.18	72.99	1009.01	90.09	439.12
28.46	49.16	1004.61	38.1	438.02
26.57	44.57	1007.76	50.39	445.49
24.91	57.17	1010.88	72.97	446.01
31.92	68.3	1015.58	41.55	430.07
31.21	66.44	1008.57	65.76	430.7
25.88	61.47	1007.93	68.71	445.65
29.17	72.99	1006.86	64.92	430.59
26.2	72.24	1011.3	78.29	432.65
21.9	63.13	1011.54	81.83	447.4
22.82	60.08	1017.95	65.71	450.86
21.41	50.32	1008.61	84.47	443.63
20.5	49.69	1009.6	70.81	452.94
25.82	57.19	1007.99	62.95	440.8
25.44	56.57	1013.8	66.72	444.61
28.33	78.92	1011.15	70.04	432.67
24.51	68.63	1014.15	45.1	447.66
23.56	49.16	1003.31	66.98	445.36
24.47	58.05	1011.27	71.7	446.93
27.26	66.56	1007.83	60.95	434.88
33.63	70.4	1004.02	53.6	430.05
24.25	74.93	1013.07	69.31	445.44
31.19	68.3	1014.86	39.1	430.48
26.63	61.47	1008.18	69	444.16
20.35	50.9	1012.6	72.43	453.5
27.11	70.04	1009.76	71.25	431.96
27.92	68.3	1015.02	51.04	437.28
23.57	64.15	1020.95	68.19	450.08
27.58	73.06	1009.63	88.31	438.1
21.47	60.77	1018.06	85.73	444.02
24.34	62.96	1019.7	61.44	446.09
26.31	52.09	1013.39	53.59	447.04
25.22	69.88	1007.17	80.26	443.24
23.77	61.87	1009.8	54.83	445.72
28.9	71.94	1007.29	64.77	427.41
29.54	74.99	1005	69.69	432.94
25.89	58.86	1014.16	52.95	445.17
23.61	43.77	1011.81	56.08	444.55
32.81	75.08	1005.09	42	433.37
29.72	68.08	1010.72	53.46	430.36
22.7	59.92	1011.05	90.84	436.7
33.37	79.05	1007.19	62.64	430.42
25.07	60.27	1018.13	70.33	439.52
23.77	51.43	1006.67	84.09	441.54
26.73	77.95	1012.31	78.35	434.76
24.03	62.44	1010.96	79.88	430.66
33.42	68.51	1011.91	45.83	427.66
28.76	51.43	1011.88	49.79	449.98
22.89	65.34	1015.53	61	450.53
23.1	66.05	1020.28	80.62	439.03
25.32	48.41	1008.47	72.14	443.04
23.84	49.21	1013.85	50.36	447.09
29.17	67.45	1014.1	46.85	435.08
23.49	47.45	1008.46	66.18	446.72
26.95	48.41	1008.53	62.94	436.54
24.51	51.86	1014.64	67.57	446.74
24.16	60.29	1018.09	63.49	446.17
23.66	77.54	1008.5	85.32	435.38
22.23	46.93	1013.09	58.02	448.27
26.08	48.6	1003.61	57.8	438.61
21.34	59.8	1016.92	77.06	450.74
24.51	58.79	1016.11	61.7	443.5
27.69	69.71	1009.9	69.91	440.43
21.77	42.23	1013.03	67.44	462.51
28.14	43.21	1011.82	69.32	436.53
28.44	74.93	1013.88	52	441.52
33.95	80.18	1010.3	56.69	432.22
27.05	75.33	1003.88	82.94	433.57
31.25	73.5	1010.81	45.2	432.25
25.39	70.36	1006.76	73.62	436.5
30.06	69.14	1007.5	72.48	436.89
25.34	71.06	1007.74	92.52	434.86
28.15	74.9	1003.67	76.32	433.63
20.85	48.7	1007.11	87.2	449.57
26.75	70.32	1007.61	54.09	433.46
23.89	70.04	1011.16	84.9	433.71
26.58	70.98	1008.96	77.36	434.41
28.94	68.67	1005.39	75.24	434.65
24.54	60.23	1011.55	72.78	445.25
30.03	70.02	1010.07	64.2	436.88
22.72	69.13	1010.81	92.43	438.01
24.91	52.3	1008.72	68.26	441.15
22.77	69.84	1005.75	84.26	436.75
23.05	48.98	1015.64	49.33	446.05
31.03	69.98	1011.33	52.16	436.13
29.7	57.19	1008.41	55.07	436.29
22.93	58.2	1017.75	54.09	444.95
25.68	67.79	1010.66	69.51	449.04
22.42	60.08	1017.71	67.46	452.31
26.26	73.06	1009.35	91.65	435.41
26.3	59.07	1007.84	78.32	441.94
31.25	69.51	1010.25	36.83	428.77
21.59	61.87	1011.18	57.21	446.58
22.88	65.48	1017.33	66.26	447.14
27.71	72.99	1007.18	72.68	433.01
28.41	74.16	1010.29	72.09	439.2
29.56	52.84	1006.09	42.17	436.46
29.05	69.71	1009.03	64.25	434.05
27.08	66.05	1017.33	54.68	439.47
22.38	71.85	1009.56	74.91	441.47
21.36	45.61	1013.43	83.64	456.85
25.06	44.57	1007.39	56.07	443.66
22.12	60.77	1018.01	83.87	443.97
31.67	69.68	1012.38	46.52	439.72
28.13	56.9	1007.17	51.66	436.95
31.05	62.7	1009.35	55.27	441.67
31.93	72.58	1006.9	56.27	425.14
26.02	63.07	1010.94	53.96	446.82
22.82	69.94	1004.65	73.47	437.32
24.54	48.41	1008.61	73.53	439.79
21.5	50.59	1017.08	65.28	453.8
26.95	70.8	1009.73	82.95	436.8
21.28	70.32	1011.06	90.12	439
22.51	59.21	1018.35	71.97	444.66
26.72	56.9	1007.12	58.54	435.16
25.47	56.89	1013.02	63.21	440.38
26.62	70.36	1005.15	84.99	441.28
28.07	70.32	1007.17	67.02	430.29
23.53	68.94	1007.53	69.17	437.48
23.48	51.43	1007.13	84.83	441.78
21.8	51.3	1012.07	89.51	450.25
26.54	71.14	1007.52	72.04	431.31
26.87	74.99	1002.48	71.91	437.78
31.87	71.22	1006.16	45.66	437
23.62	67.45	1014.63	59.8	439.45
27.5	59.54	1004.88	72.7	438.81
21.94	57.5	1014.64	78.52	451.1
22.45	57.76	1017.55	58.6	450.61
23.98	50.32	1008.41	67.75	443.45
22.58	58.12	1014.88	80.59	448.32
25.09	71.58	1010.17	86.01	434.51
29.09	67.07	1005.99	41.39	429.93
22.9	67.25	1017.74	74.53	438.62
26.89	70.32	1012.39	87.17	435.56
23.16	57.76	1017.74	63.79	451.79
25.26	65.61	1014.43	58.35	447.34
23.39	69.13	1010.99	90.66	434.5
29.86	59.57	1011.24	64.02	439.44
27.55	63.13	1012.92	71.29	440.75
28.1	61.02	1011.28	59.05	437.5
27.05	75.33	1003.88	82.94	433.57
32.22	70.8	1009.9	62.03	433.07
23.25	51.86	1013.54	78.34	450.22
23	57.76	1017.64	56.86	451.39
28.92	72.43	1007.03	66.14	431.5
30.74	71.77	1006.24	53.38	434.89
24.56	66.75	1018.5	77.47	435.03
27.21	68.12	1012.96	54.69	435.2
22.81	71.85	1009.61	75.17	440.4
28.28	61.86	1012.07	64.49	439.65
24.55	67.07	1005.66	63.58	443.39
29.98	47.93	1002.46	42.73	438.79
30.57	73.03	1013.75	73.68	437.42
27.45	64.34	1007.12	65.87	440
23.81	66.51	1016.96	70.16	438.32
21.51	48.92	1010.36	38.27	455.11
28.89	70.72	1009.36	70.33	433.02
26.06	67.83	1009.26	66.37	432.28
22.07	60.08	1017.68	71.23	452.56
27.47	63.78	1016.07	48.47	446.69
22.3	57.19	1006.4	75.28	445.1
30.69	69.89	1013.9	42.85	431.01
25.18	57.5	1015.07	60.76	449.01
22.02	46.93	1014.32	55.92	451.92
29.42	69.14	1007.32	75.04	437.75
29.04	62.26	1010.63	56.6	433.97
25.28	49.5	1013.95	52.79	454.01
28.28	61.47	1009.44	60.89	443.12
28.32	66.54	1010.28	45.6	436.42
26.81	56.57	1013.68	61.6	442.94
27.38	69.4	1004.57	74.12	434.47
32.15	69.98	1013.3	55.13	429.86
20.65	57.5	1016.04	87.45	448.22
22.41	70.98	1005.67	95.03	441.51
23.67	63.86	1019.67	57.95	441.73
29.24	64.33	1011.49	65.08	440.12
22.12	63.91	1009.61	90.83	447.77
32.63	74.99	1002.42	40.07	432.79
28.35	70.32	1009.22	47.13	427.21
29.52	64.79	1017.53	44.83	439.6
22.16	65.48	1017.22	70.51	446
29.91	74.33	1013.22	39.76	430.26
31.63	65.74	1010.83	50.59	437.54
23.67	72.24	1011.22	90.45	435.94
23.29	68.51	1013.19	77.81	441.17
28.61	69.84	1004.24	67.74	429.91
21.04	65.46	1017.22	63.02	452.12
23.36	74.93	1016.57	71.91	443.78
21.81	65.06	1014.6	66.41	447.13
23.38	48.78	1019.03	78.69	446.18
25.93	69.34	1008.91	79.43	434.08
23.39	63.94	1010.54	89.94	441.44
26.75	69.45	1013.88	53.65	434.57
29.59	70.17	999.71	71	434.85
24.27	57.85	1012.81	63.48	445.1
27.75	66.51	1015.42	39	433.08
30.68	73.67	1005.63	57.05	429.64
24.18	66.48	1004	64.86	434.5
20.77	69.51	1012.96	62.89	442.82
30.62	66.75	1017.68	53.68	432.66
21.64	44.05	1007.73	74.79	447.96
30.66	66.25	1007.67	63.03	439.55
32.87	70.8	1009.54	59.85	433.1
26.14	69.14	1007.1	88.27	439.03
23.26	59.14	1016.98	76.29	440.37
22.62	51.3	1012.36	81.02	448.27
20.61	63.86	1015.43	73.86	446.34
25.98	73.18	1012.28	85.78	439.73
29.72	68.08	1010.72	53.46	430.36
31.38	68.27	1006.79	52.79	426.67
22.76	44.05	1006.95	74.07	450.31
23.72	66.48	1003.61	73.75	436.62
21.09	50.9	1012.42	69.09	456.09
21.11	69.94	1004.37	84.26	439.91
23.88	69.94	1007.48	61	440.63
29.77	69.48	1009.8	52.6	432.69
25.32	60.37	1006.19	73.94	438.5
27	69.4	1004.86	82.2	433.83
23.11	68.3	1017.83	86.62	437.91
21.39	63.9	1013.44	70.95	449.38
25.09	65.46	1015.29	40.13	442.99
29.18	68.24	1010.04	68.04	428.52
27.97	58.84	1002.25	57.88	446.11
29.05	75.6	1017.63	51.16	439.14
24.03	45.87	1007.55	52.48	445.84
31.24	71.98	1004.66	57.17	426.93
25.97	57.32	1012.13	47.48	442.73
24.55	67.07	1005.66	63.58	443.39
21.36	45.61	1013.43	83.64	456.85
26.36	54.5	1015.35	66.87	451.81
21.24	60.84	1017.99	82.22	445.71
29	69.68	1012.78	66.09	442.79
25.69	59.07	1006.89	82.34	440.6
25.21	70.04	1009.51	76.13	432.93
27.59	50.05	1005.71	57.03	437.98
21.52	66.51	1015.32	72.85	444.87
27.36	63.31	1013.7	51.58	440.4
25.6	59.15	1013.31	67.02	441.11
24.35	60.27	1017.6	75.45	441.74
21.45	69.94	1010.5	82.17	443.31
21.33	58.46	1016.17	79.73	445.27
29.38	73.42	1011.49	54.96	445.42
25.65	49.3	1003.73	68.48	440.05
26.01	61.47	1009.54	75.01	435.78
23.84	68.94	1007.45	71.35	436.05
27.89	70.94	1007.54	49.18	435.21
23.09	69.13	1010.93	90.07	436.67
20.48	39.72	1001.61	57.32	455.58
25.21	64.63	1020.56	51.31	448.66
29.59	70.17	999.71	71	434.85
25.96	63.78	1016.95	49.47	443.8
26.27	62.91	1011.97	48.06	447.76
26.48	66.54	1011.61	51.9	438.87
24.43	58.05	1011.88	71.39	445.68
21.95	60.95	1015.22	75.09	450.38
22.3	44.57	1008.48	67.58	449.74
22.23	46.93	1013.09	58.02	448.27
26.24	77.95	1014.19	85.21	438.01
26.76	48.41	1010.53	47.38	440.63
32.83	74.16	1007.57	60.2	432.05
35.56	68.94	1006.56	38.75	429.69
31.7	69.13	1000.29	46.27	427.95
22.76	49.02	1007.5	88.56	442.84
27.77	63.9	1013.62	51.43	441.3
23.66	62.08	1022.42	64.13	447.06
23.03	68.08	1012.63	70.37	441.71
28.42	73.4	1011.39	62.72	438.25
33.2	70.8	1008.75	59.41	430.71
23.43	71.97	1009.42	94.27	442.19
26.03	70.32	1008.81	71.35	438.15
23.83	50.32	1008.41	72.23	445.17
26.11	73.17	1009.8	65.18	434.94
21.4	74.93	1014.58	80.85	434.09
27.17	67.17	1006.76	81.59	431.73
30.7	74.22	1008.12	50.39	432.51
24.54	58.66	1011.63	57.62	448.11
20.94	44.89	1009.64	75.14	450.71
28.73	50.05	1005.79	52.4	436.35
22.8	69.23	1011.8	76.95	439.3
23.35	71.85	1009.32	73.48	441.28
27.71	72.99	1007.18	72.68	433.01
29.25	78.87	1012.05	84.28	430.49
24.62	72.43	1007.97	84.36	436.89
28.57	69.34	1007.98	65.55	439.46
30.57	73.03	1013.75	73.68	437.42
30.34	71.25	1000.94	67.29	431.18
25.03	60.27	1017.9	72.04	438.24
24.87	58.33	1013.76	54.55	440.79
27.58	78.05	1010.83	94.98	431.95
22.68	50.78	1008.83	70.3	447.69
23.75	59.07	1007.73	88.82	443.54
28.85	57.19	1008.2	58.4	436.8
27.97	69.48	1010.4	57.24	432.18
24.34	48.78	1018	73.44	448.54
23.86	59.21	1013.02	73.6	441.22
26.1	66.25	1009.25	84.52	441.53
23.27	68.28	1005.01	74.83	444.86
22.03	64.69	1007.21	75.75	440.92
28.67	69.14	1008.24	72.68	433.79
27.77	62.26	1010.88	66.45	430.19
22.3	44.57	1008.48	67.58	449.74
29.13	66.56	1006.63	52.85	439.31
29.08	66.54	1004.67	64.5	430.16
21.35	59.04	1012.28	95.71	445.83
29.29	72.58	1007.39	72.85	428.73
29.23	66.51	1011.11	53.12	439.61
25.15	62.91	1012.23	48.22	444.19
34.63	74.33	1011.7	31.45	428.54
23.92	66.54	1009.93	62.37	441.9
28.15	71.25	1000.51	81.04	431.28
24.58	48.98	1014.96	38.75	459.79
28.07	68.08	1013.13	44.67	437.65
23.06	56.85	1012.5	64.03	440.03
20.35	56.53	1020.23	70.05	456.04
23.88	69.94	1007.48	61	440.63
28.4	59.27	1012.03	59.75	441.64
25.11	67.32	1014.49	58.39	441.93
32.31	62.04	1010.45	38.01	449.65
27.44	66.56	1005.51	69.28	428
28.92	61.02	1011.19	56.13	436.76
26.18	52.36	1013.46	56.65	453.54
24.82	66.48	1006.4	70.21	433.62
27.55	64.96	999.73	57.34	431.33
22.5	59.43	1010.31	72.17	441.92
24.44	69.13	1011.1	87.62	434.34
21.69	69.94	1010.7	80.8	443.67
27.27	67.9	1006.36	62.12	436.64
21.43	60.95	1015.27	75.49	449.12
29.78	69.71	1008.96	67.46	434.33
23	60.37	1005.34	83.73	437.6
26.6	63.07	1011.97	61.3	442.25
29.29	72.58	1007.39	72.85	428.73
24.67	49.5	1013.62	59.42	455.31
30.38	71.58	1010.17	50.45	433.75
24.91	58.69	1008.22	82.81	435.96
23.66	72.43	1008	89.49	439.02
29.45	75.6	1018.12	50.68	437.31
31.46	77.17	1009.26	59.61	435.56
23.77	64.15	1021.02	55.87	448.43
27.89	69.88	1007.99	85.62	430.75
23.43	51.43	1011.31	73.55	444.09
21.29	47.45	1008.85	71.6	447.78
21.24	41.67	1012.6	49.27	459.81
25.21	63.21	1012.24	85.14	441.04
32.4	68.14	1004.44	34.53	425.91
30.96	69.82	1009.6	51.55	438.74
27.59	50.05	1005.71	57.03	437.98
23.18	59.04	1011.44	79.28	443.12
29.1	73.4	1011.35	57.31	436.85
27.3	56.85	1011.66	36.09	440.01
29.82	43.21	1011.52	63.54	433.31
27.03	65.12	1015.94	45.1	441.62
21.07	67.07	1004.64	86.16	446.05
28.91	58.33	1013.84	39.72	437.53
31.3	67.17	1007.27	62.99	433.53
28.01	44.89	1008.98	48.52	444.76
27.11	70.04	1009.76	71.25	431.96
23.93	64.05	1013.09	86.02	440.66
25.59	62.39	1006.37	74.06	435.84
22.01	58.46	1016.26	75.99	443.75
21.81	60.27	1015.93	91.38	441.85
26.88	74.78	1010.42	64.81	440.84
22.84	61.87	1010.63	51.67	442.72
24.54	65.46	1014.27	40.77	446.26
26.05	56.85	1012.78	59.09	438.59
27.56	66.93	1016.81	55.59	444.1
22.84	67.32	1013.77	64.67	438.36
24.24	70.32	1009.38	82.83	436.45
26.63	64.44	1012.66	61.19	442
23.08	48.41	1008.44	82.35	443.5
23.25	51.86	1013.54	78.34	450.22
20.6	45.38	1014.93	75.78	460.24
25.63	71.58	1010.14	87.57	433.76
22.83	65.18	1012.24	79.74	442.43
23.39	61.87	1010.35	48.91	444.03
22.57	63.94	1013.49	81.61	443.58
21.73	50.32	1008.51	84.62	442.1
24.63	59.57	1010.45	85.36	440.67
26.15	64.27	1013.03	59.77	439.11
21.55	44.57	1006.03	71.54	446.84
24.87	68.61	1011.19	55.69	450.54
26.05	65.38	1009.43	52.1	449.82
26.59	59.92	1009.97	70.09	438.22
27.17	73.5	1010.36	73.29	435.22
28.15	70.72	1009.76	73.38	436.19
22.95	63.94	1013.91	81.52	438.33
28.83	72.43	1006.69	67.04	428.85
26.46	61.41	1012.41	56.58	448.83
23.83	64.15	1020.93	63.86	447.95
31	77.95	1010.14	65.97	431.62
21.03	69.05	1002.17	75.35	444.35
24.75	63.57	1010.47	84.24	445.3
21.96	51.43	1007.28	89.96	442.87
23.74	65.34	1013.7	62.9	447.31
29.83	71.98	1004.32	67.55	426.98
29.14	75.23	1010.15	54.87	434.82
22.78	58.59	1012.84	65.55	445.45
21.52	66.51	1015.32	72.85	444.87
29.34	70.94	1007.82	62.43	433.57
24.06	58.98	1010.66	81.16	443.75
33.94	74.67	1015.94	28.16	427.98
26.59	60.96	1011.9	52.41	439.77
24.37	65.61	1014.5	65.67	443.13
23.18	51.3	1012.04	78.64	448.86
21.39	51.3	1013.39	89.05	452.7
27.6	69.34	1009.63	71.58	440.6
21.35	59.04	1012.28	95.71	445.83
21.41	59.43	1010.27	74.54	442.85
21.88	69.71	1010.28	97.64	444.39
26.3	71.94	1006.64	85.12	428.83
29.72	77.95	1014.9	72.73	434.99
32.84	74.67	1015.89	31.81	430.88
25.77	73.68	1014.18	87.53	429.84
31.01	69.04	1009.14	52.81	442.07
27.51	63.73	1009.97	66.14	440.81
29.1	77.95	1010.01	71.48	431.28
27.63	64.96	1006.3	75.38	434.22
20.43	63.09	1016.46	91.78	445.58
22.35	65.61	1016.27	73.93	448.41
33.82	73.03	1013.49	42.17	439.3
31.6	73.17	1010.05	43.48	433.37
30.05	56.9	1007.02	41.96	437.55
24.22	62.08	1022.53	60.79	449.11
20.47	63.07	1012.79	88.67	451.71
22.69	65.12	1016.35	72.02	446.91
31.85	73.91	1003.6	60.22	431.26
33.45	73.88	1006.23	44.14	435.48
34.6	64.96	1003.3	34.32	427.65
22.47	48.6	1002.33	63.23	445.98
21.19	50.16	1005.81	84.27	450.33
26.85	63.56	1013.25	52.84	444.39
28.39	65.51	1014.52	66.48	438.78
28.8	73.4	1011.34	54.01	439.65
32.37	67.83	1008.32	57.39	426.76
23.82	44.89	1009.39	74.69	445.45
31.94	74.99	1002.05	34.12	440.17
27.52	74.67	1015.77	72.01	433.56
21.45	45.09	1013.83	52.26	453.15
