AT	V	AP	RH	PE
24.6	71.73	1010.08	78.77	436.28
25.01	66.56	1009.68	64.94	435.73
19.62	43.56	1012.89	37.6	463.33
30.19	66.54	1004.39	61.43	428.37
14.12	42.99	1007.13	78.16	468.45
29.04	70.72	1009.55	66.58	437.95
32.31	68.94	1006.11	71.78	431.14
11.8	41.2	1017.18	82.71	475.19
16.56	42.99	1007.48	74.45	464.62
24.75	63.57	1010.47	84.24	445.3
10.67	40.56	1022.39	77.92	482.36
19.92	63.31	1015.02	82.71	443.54
25.64	68.08	1011.06	71.06	431.77
10.84	40.62	1015.53	60.9	467.6
20.08	54.42	1011.79	89.35	457.14
13.33	40.64	1020.92	91.47	474.07
13.21	40.56	1018.12	64.49	475.86
29.55	72.29	1007.94	84.45	430.98
25.72	72.39	1003.01	86.38	432.77
32.37	68.67	1005.45	47.98	430.35
25.57	44.05	1005.79	65.14	443.84
22.5	64.69	1007.03	74.92	440.73
11.56	41.62	1012.5	91.42	460.6
27.4	69.84	1002.98	76.48	430.54
5.53	35.79	1013.48	94.19	484.25
22.32	69.48	1011.1	77.86	439.49
21.84	55.5	1019.28	62.17	454.99
17.53	42.24	1016.9	60.95	470.63
21.84	59.07	1008.84	96.5	448.61
21.11	43.43	1010.1	62.62	447.83
11.02	41.26	1020.69	92.13	471.93
10.41	44.68	1023.53	91.38	474.7
22.63	58.41	1013.69	90.32	445.43
33.26	68.51	1012.49	52.68	429.38
24.92	63.94	1017.7	44.92	441.07
11.68	40.23	1018.49	83.43	475.47
14.64	39.31	1008.84	79.3	462.72
24.54	48.41	1008.61	73.53	439.79
19.04	68.28	1004.52	86.16	444.54
18.8	47.83	1005.86	76.77	453.9
26.65	58.41	1013.53	65.83	442.66
28.04	69.14	1007.16	80.38	436.37
13.78	40.73	1017.55	94.28	462.59
23.38	65.06	1014.12	59.36	443.8
10.28	39.64	1010.45	74.15	477.65
19.97	50.78	1008.75	92.7	446.57
30.1	66.25	1009.38	65.41	434.99
29.79	77.17	1009.68	64	432.84
11.17	44.77	1018.2	79.6	470.85
15.67	48.78	1013.76	88.92	462.96
30.99	69.82	1009.41	50.84	437.46
20.78	62.52	1017.58	73.3	452.3
24.96	65.18	1012.68	76.19	436.24
18	43.7	1015.4	61.28	464.26
31.38	70.83	1010.35	47.28	431.33
28.44	77.54	1011.73	77.3	433.21
24.19	68.94	1007.37	70.83	439.52
14.43	39.82	1012.56	78.52	470.17
29.63	66.75	1018.08	58.46	433.26
22.5	45.38	1014.11	65.08	458.19
17.98	59.15	1012.09	83.03	451.97
23.26	63.56	1013.64	71.3	446.67
26.49	78.92	1010.82	83.42	434.91
16.39	52.75	1024.42	54.61	459.48
12.83	41.5	1013.12	86.07	470.87
12.25	44.85	1014.13	85.25	470.92
6.3	41.14	1027.45	86.11	481.49
6.79	40	1019.01	81.83	480.83
22.78	62.44	1011.79	75.43	446.12
10.94	39.69	1004.5	86.29	459.69
17.72	50.9	1012.02	85.55	456.4
14.42	44.88	1019.35	59.17	462.72
28.16	70.98	1008.51	72.12	435.04
23.39	63.21	1011.91	84.57	448.3
6.89	39.37	1020.21	74.17	486.9
24.22	68.51	1013.23	74.96	440.01
12.57	39.3	1019.57	72.44	473.67
21.14	58.05	1012.98	87.27	449.74
6.61	36.24	1013.57	91.8	483.12
20.95	48.14	1013.3	67.72	452.38
25.45	67.83	1009.47	57.97	429.95
9.7	37.14	1012.79	75.2	475.77
25.89	58.86	1014.16	52.95	445.17
5.21	41.31	1003.51	91.23	486.46
27.17	61.02	1011.38	65.32	437.06
22.86	62.4	1010.59	78.24	445.66
11.66	44.6	1018.39	89.98	471.3
20.11	51.19	1007.82	92.06	449.03
12.68	41.16	1020.09	83.32	464.93
5.66	40.62	1015.87	84.97	485.18
20.71	58.18	1007.63	98.44	447.06
15.98	44.68	1018.48	85.94	462.77
8.14	39.96	1023.41	88.86	477.05
23.39	71.25	1005.22	93.7	435.68
26.92	62.44	1011.09	70.8	437.99
17.68	39.08	1002.77	74.24	454.18
20.58	50.9	1011.89	72.56	452.6
8.44	41.17	1019.9	70.72	486.15
24.22	49.82	1014.61	66.82	452.2
26.75	58.33	1013.55	45.47	444.09
30.25	68.24	1006.58	31.9	432.05
28.82	65.71	1014.24	54.3	449.18
15.09	44.34	1019.46	60.49	468.8
23.29	65.61	1014.81	70.27	447.67
22.31	43.43	1010.64	56.44	449.67
22.64	58.66	1011.68	60.97	449.79
27.6	69.05	1003.87	42.01	436.08
12.14	45	1023.9	89.2	476.6
8.94	42.07	1018.9	85.93	473.34
10.1	41.79	1019.36	78.07	474.09
6.76	39.22	1013.91	77	487.08
5.1	35.57	1027.17	80.49	489.96
26.03	70.32	1008.81	71.35	438.15
17.36	44.63	1020.49	54.21	456.98
27.04	48.41	1008.57	60.73	441.21
27.14	63.13	1013.38	75.68	438.82
11.42	41.38	1021.98	60.19	479.23
26.13	71.25	999.8	88.47	430.6
22.16	58.82	1009.61	87.16	444.76
13.78	45.51	1015.56	69.92	468.17
22.35	63.47	1013.21	82.52	440.11
10.62	39.64	1010.51	68.55	478.37
10.84	40.62	1015.53	60.9	467.6
22.43	63.94	1012.76	93.24	444.53
27.19	71.32	1008.97	88.43	437.92
18.07	63.31	1016.65	72.81	456.5
29.19	67.51	1011.48	55.55	446.97
20	39.53	1007.59	62.09	456.28
31.04	74.67	1015.85	43.32	435.17
27.08	66.05	1017.91	59.1	441.16
19.26	44.34	1019.45	51.32	467.72
16.88	43.67	1011.43	73.98	463.81
14.57	42.18	1015.13	74.89	465.75
31.88	70.36	1006.2	57.51	438.42
25.43	60.95	1014.62	51.39	444.65
23.74	52.3	1008.88	76.34	444.4
17.15	43.69	1017.05	63.36	463.88
31.38	71.32	1009.17	60.42	433.44
22.78	71.77	1005.26	89.23	435.46
18.28	44.2	1018.83	52.88	458.59
22.81	71.85	1009.61	75.17	440.4
7.99	41.38	1021.95	78.77	487.57
12.51	41.92	1031.21	64.66	468.41
20.07	42.23	1012.86	74.11	461.25
23.39	63.94	1010.54	89.94	441.44
12.31	37.73	1023.3	63.01	472.08
26.02	74.78	1010.04	72.78	439.82
21.44	63.09	1016.56	90.11	444.19
28.4	75.23	1011.12	55.01	441.78
12.82	41.58	1020.37	81.06	464.07
7.85	37.8	1020.9	59.19	478.68
21.09	59.8	1016.94	76.95	451.98
10.56	39.13	1010.19	87.12	463.14
30.68	69.68	1012.86	56.56	438.68
14.08	41.93	1023.02	59.41	475.15
13.26	41.74	1021.89	63.32	473.44
24.56	63.21	1013.79	82.38	444.34
25.16	60.23	1011.21	68.31	444.98
25.88	63.73	1009.48	77.17	438.42
14.24	39.52	1018.22	77.19	468.51
19.89	51.43	1007.38	91.79	448.85
7.74	42.49	1009.07	90.11	481.69
18.94	47.83	1005.18	78.59	455.19
9.43	41.4	1028.03	84.98	474.16
7.29	40.96	1023.01	90.78	488.65
11.39	43.72	1010.91	98.83	467.8
10.76	40.43	1025.98	79.65	490.78
20.65	66.51	1014.94	71.83	456.49
20.31	45.87	1007.89	73.7	449.54
21.81	63.77	1014.28	83.66	444.52
16.52	53.16	1014.68	76.82	457.81
4.93	38.44	1015.65	71.47	485.01
19.12	45.01	1014	59.95	453.24
24.39	70.72	1009.78	82.25	442.04
10.29	40.56	1017.28	69.13	481.7
12.83	41.67	1012.84	84.29	474.81
20.77	51.3	1013.89	88.72	450.97
13.86	35.71	1015.21	63.16	471.63
23.46	47.01	1014.41	69.19	457.76
29.85	71.58	1010.04	58.66	432.26
29.45	69.13	1009.3	52.97	432.04
30.57	69.82	1009.86	52.94	437.62
19.02	50.66	1013.04	85.25	455.42
24.51	51.95	1005.57	63.53	449.73
22.7	61.41	1012.08	78.08	449.75
10.79	39.82	1012.89	88.25	479.92
22.3	74.87	1009.69	86.18	442.78
26.02	70.79	1004.21	79.12	428.72
15.16	50.88	1013.88	100.11	460.03
5.76	40.07	1013.22	62.99	494.67
26.92	51.43	1012.29	59.33	437.35
26.19	69.34	1009.48	87.59	433.99
15.67	41.1	1004.1	77.93	466.45
13.99	36.71	1013.43	83.13	473.2
27.01	52.3	1007.78	60.38	439.51
19.79	44.9	1008.66	72.68	455.59
7.26	36.08	1021.47	83.15	483.58
19.02	49.25	1019.75	58.29	453.49
14.91	43.34	1015.15	81.56	461.27
25.02	50.78	1008.79	63.06	444.7
25.43	69.13	1002.2	86.44	431.53
27.38	77.24	1008.25	82.49	435.81
28.92	66.51	1015.5	34.51	439.09
19.58	52.9	1017.46	64.64	458.28
12.39	40.75	1016.05	81.91	475.96
25.19	63.94	1012.78	75.15	438.73
14.46	45.87	1009.21	84.09	464.5
17.99	43.79	1016.13	75.63	462.4
18.35	57.76	1019.64	77.94	458.41
14.03	44.88	1019.6	57.63	465.51
10.12	38.38	1018.22	85.93	477.73
23.76	74.22	1009.2	92.98	437.47
17.31	44.71	1017.43	35.4	463.05
5.56	45.87	1006.99	96.48	476.61
28.5	76.86	999.49	77.47	430.62
15.77	58.16	1016.09	82.56	450.11
13.39	44.85	1017.24	80.44	469.18
21.45	66.05	1014.81	73.73	453.38
20.27	63.56	1014.24	86.55	446.93
18.97	50.59	1016.01	74.9	459.68
12.73	37.73	1021.89	61.76	470.89
18.59	65.06	1015.75	80.72	450.4
12.17	49.83	1008.05	96.44	469.52
12.93	45.51	1015.27	87.27	469.83
6.98	40.35	1011.92	94.72	484.19
6.77	39.81	1017.01	87.68	488.27
11.03	42.32	1017.26	90.56	470.92
9	40.78	1025.39	99.22	468.5
13.97	40.24	1018.32	88.72	467.93
23.08	64.44	1014.85	69.95	448.61
17.04	40.12	1011.81	83.14	458.1
18.01	54.9	1017.04	77.82	455.91
27.1	79.74	1005.43	86.05	431.51
7.4	40.72	1022.56	87.67	484.29
18.39	52.08	1006.53	100.09	449.96
30.88	69.51	1011.48	46.58	433.14
31.68	70.79	1004.05	54.5	429.55
13.94	41.58	1020.76	68.22	463.07
12.66	41.2	1015.88	89.12	466.49
29.23	74.22	1008.49	57.88	428.9
9.15	41.82	1032.88	75.11	477.78
24.2	57.85	1013.05	70.29	446.87
30.26	71.77	1006.24	58.98	429.27
19.15	44.34	1019.54	48.09	468.8
17.29	42.86	1014.38	72.3	464.27
24.7	50.23	1016.23	62.03	454.42
27.23	49.16	1004.03	40.8	443.78
9.52	41.26	1020.55	89.73	475.44
25.88	71.73	1010.01	72.8	430.86
29.44	65.51	1014.82	56.49	445.67
17.95	49.21	1012.05	59.44	455.1
21	66.86	1013.06	59.7	451.89
16.39	58.59	1014.58	90.34	455.05
14.09	44.47	1029.08	72.36	466.53
29.24	60.23	1009.62	59.71	438.24
28.5	76.86	999.49	77.47	430.62
19.4	42.44	1013.19	58.63	459.76
6.93	41.14	1027.18	84.67	479.06
20.61	65.61	1014.91	83.82	449.72
17.96	47.83	1005	85.72	454.59
14.26	44.47	1028.81	72.19	465.77
13.34	41.79	1011.48	86.66	461.12
31.18	69.04	1008.19	49.72	441.26
27.5	65.34	1014.93	47.46	439.59
9.27	42.02	1004.29	95.05	474.93
6.49	35.57	1025.4	79.67	486.8
13.83	38.73	999.62	91.95	469.81
10.52	42.18	1014.9	95.67	469.03
30.74	79.05	1005.78	73.19	430.69
27.98	67.9	1006.3	73.53	436.08
17.41	40.55	1003.91	76.87	461.47
12.51	41.92	1031.21	64.66	468.41
12.64	41.49	1019.78	94	468.78
8.3	43.13	1020.02	83.11	484.07
19.73	49.69	1007.78	73.02	454.28
15.09	41.76	1022.4	76.22	463.27
11.83	44.6	1018.49	89.06	469.96
12.72	39.13	1008.36	92.59	467.28
20.59	59.8	1015.27	77.94	453.83
26.92	73.17	1011.42	76.94	431.29
21.31	69.05	1002.46	73.42	440.97
27.79	69.23	1012.86	45.71	435.06
25.2	59.21	1017.54	55.53	444.16
25.34	49.5	1013.25	50.8	457.12
8.39	52.72	1026.06	86.76	473.45
18.59	39.54	1008.56	68.61	462.56
18.42	63.94	1020.47	74.47	450.55
25.6	63.76	1010.18	67.43	435.75
6.03	41.17	1019.81	84.2	488.57
23.62	56.85	1011.11	64.44	442.96
8.42	42.28	1008.4	87.78	481.91
25.61	74.22	1010.26	75.15	438.45
14.12	39.52	1016.79	75.89	472.32
10.99	43.5	1021.1	93.64	469.34
18.32	42.28	1007.86	45.62	460.27
27.76	65.59	1010.8	67.29	439.03
30.35	77.17	1009.55	63.62	432.75
15.49	54.3	1017.59	71.26	464.24
25.02	47.45	1008.07	60.42	446.62
20.24	56.65	1020.72	62.9	455.49
21.5	45.38	1013.88	64.28	460.18
33.3	80.18	1011.09	63.98	430.16
13.91	39.35	1014.69	75.51	469.02
25.3	58.46	1015.91	69.71	439.25
21.97	58.95	1017.78	76.95	443.61
14.57	37.86	1022.44	68.82	463.58
6.65	40.77	1021.79	88.84	482.9
25.21	64.63	1020.56	51.31	448.66
29.08	66.54	1004.67	64.5	430.16
29.82	43.21	1011.52	63.54	433.31
17.02	51.86	1021.53	81.28	460
20.61	63.86	1015.43	73.86	446.34
13.78	40	1018.38	68.67	458.74
27.28	44.89	1009.02	49.9	441.94
17.82	49.15	1020.73	70.25	457.35
29.49	70.98	1007.83	79.08	434.43
10.86	37.5	1013.36	75.56	473.75
12.14	45	1023.9	89.2	476.6
13.71	45.08	1023.35	82.93	468.43
23.76	70.32	1012.13	78.84	434.64
21.39	64.27	1011.71	95.39	445.12
12.07	38.25	1012.67	81.66	470.36
17.83	66.86	1011.65	77.31	456.56
24.91	71.29	1008.29	69.06	437.03
22.5	59.54	1007.99	93.63	445.22
14.79	47.83	1007.27	92.04	463.22
23.02	69.94	1007.94	64.66	439.4
20.61	60.1	1010.84	80.57	450.46
22.1	65.94	1009.79	67.57	443.95
18.8	44.78	1009.65	46	462.79
11.22	40.22	1011.01	81.67	476.7
26.97	67.32	1014.35	55.07	439.61
13.9	39.59	1011.84	94.74	465
25.04	51.95	1005.56	66.53	449.45
24.38	58.2	1016.93	51.61	444.36
19.77	65.06	1016.22	74.95	448.26
27.3	65.12	1016.24	44.87	442.78
9.61	39.04	1023.45	75.66	483.86
13.74	41.16	1010.74	87.69	473.19
25.54	61.08	1013.77	69.64	448.57
26.68	68.08	1011.41	67.33	433.04
10.24	41.17	1019.73	82.04	479.78
9.29	39.04	1022.72	74.29	482.55
9.58	38.08	1019.49	67.54	478.5
8.84	42.49	1010.28	89.09	481.58
20.06	47.03	1013.66	83.23	461.02
27.19	62.91	1011.57	53.66	444.8
19.95	50.59	1016.11	73.23	459.27
17.83	43.72	1008.64	78.72	453.86
13.92	39.39	1012.94	80.52	471.81
29.66	59.22	1013.25	61.2	441.58
17.62	43.69	1016.49	67.92	465.93
27.2	65.12	1016.2	44.95	442.54
24.4	41.1	1002.14	38.75	451.66
16.61	50.9	1013.18	85.26	460.35
29.53	70.94	1007.22	70.68	432.43
25.73	66.54	1010.07	55.97	437.07
23.74	65.34	1013.7	62.9	447.31
23.7	64.45	1012.87	38.24	451.16
27.58	78.05	1010.83	94.98	431.95
24.17	48.41	1008.46	76.19	442.62
20.25	59.8	1015.3	82.69	453.81
27.2	77.95	1009.48	78.53	433.39
15.47	38.73	1001.13	77.61	467.96
13.52	40.83	1008.31	84.14	471.95
25.13	59.44	1012.38	77.92	445.59
6.86	41.17	1020.12	79.14	490.23
23.95	66.48	1003.55	73.68	431.87
27.82	76.09	1007.83	76.07	434.52
8.72	36.25	1029.31	85.73	479.94
26.26	65.06	1013.58	52.72	440.92
12.29	40.03	1017.62	89.64	472.65
17.93	44.63	1003.54	87.41	458.96
24.72	68.67	1006.74	79.02	443.06
26.29	68.24	1010.71	76.95	429.71
25.02	50.78	1008.79	63.06	444.7
25.44	66.54	1011.9	56.76	437.99
29.79	77.17	1009.68	64	432.84
29.13	47.93	1002.5	49.1	435.61
11.6	39.96	1011.65	80.79	473.22
27.54	66.93	1017.06	55.2	450.22
26.85	73.77	1001.2	90.13	431.24
23.08	48.41	1008.44	82.35	443.5
25.91	75.6	1018.23	62.65	443.2
12.65	41.93	1023.07	65.05	479.53
27.17	63.09	1015.59	68.33	443.66
26.86	72.58	1009.22	88.39	428.69
29.35	69.04	1008.55	61.78	445.04
25.44	66.54	1011.9	56.76	437.99
28.52	57.82	1004.81	57.82	435.4
33.08	69.75	1009.03	43.69	434.98
8.61	41.04	1024.81	95.6	473.62
24.88	63.91	1009.41	77.75	447.28
27.22	68.3	1016.84	64.88	436.81
19.35	43.43	1009.4	66.11	454.02
14.07	46.18	1017.77	87.83	465.05
11.93	41.38	1021.76	57.63	473.88
10.18	40.81	1015.79	81.42	475.13
30.7	71.58	1010	48.96	429.27
25.95	59.27	1010.9	70.42	444.19
13.22	44.92	1023.84	87.99	471.43
3.6	35.19	1018.73	99.1	488.98
28.45	52.84	1006.18	43.16	439.86
6.18	41.38	1020.23	81.38	490.81
21.94	58.79	1010.3	88.21	447.52
15.56	41.1	1004.65	84.58	467.32
25.96	60.32	1016.17	55.51	443.44
14.26	43.34	1017.24	81.54	464.62
11.72	40.92	1023.35	88.55	465.88
5.54	41.38	1020.47	82.91	490.07
27.84	71.32	1007.72	79.25	431.37
21	70.02	1010.22	95.11	447.29
21.44	51.19	1009.1	84.94	446.17
7.67	42.85	1012.02	93.35	478.94
9.64	39.85	1012.9	83.82	478.37
30.83	77.3	1001.7	57.85	435.87
11.93	38.78	1013.15	96.08	474.57
7.07	37.49	1010.35	87.19	481.58
29.01	64.79	1017.62	44.31	442.12
25.19	63.94	1012.78	75.15	438.73
20.21	65.06	1016.46	73.36	451.46
5.57	42.85	1013.55	92.14	488.85
13.21	40.03	1018.12	82.98	469.75
20.76	70.72	1009.73	89.04	448.85
12.87	48.04	1012.47	100.13	465.56
17.51	58.86	1016.78	83.63	453.2
17.36	39.53	1008.28	68.87	456.57
9.78	40.03	1017.33	92.11	480.59
12.24	34.03	1018.44	69.27	474.18
15.11	42.99	1007.53	85.75	466.25
16.09	50.59	1015.69	84.41	463.64
10.09	41.62	1015.21	96.56	463.86
25.87	59.43	1008.34	65.83	440.26
16.58	41.79	1006.24	72.95	452.95
24.86	72.39	1001.15	90.24	440.85
18.21	49.69	1013.54	80.16	454.25
16.61	43.77	1012.25	77.23	457.66
20.87	63.31	1012.27	79.51	446.7
16	42.86	1013.88	81.74	467.5
30.57	69.71	1008.94	59.99	439.38
26.9	69.59	1008.9	85.08	434.1
13.98	41.79	1010.6	83.84	457.12
13.27	40.27	1006.1	40.04	473.88
14.07	46.18	1017.77	87.83	465.05
21.97	58.79	1010.93	86.7	448.8
27.84	68.08	1013.34	46.19	436.37
24.98	58.05	1011.69	69.97	447.15
24.62	72.43	1007.97	84.36	436.89
19.16	63.09	1017.71	91.15	449.51
26.35	49.5	1012.67	41.34	458.41
28.43	63.31	1013.44	49.99	432.62
23.57	67.9	1006.08	70.12	446.72
25.61	47.43	1008.62	54.51	442.96
24.1	71.97	1009.92	91.27	443.09
21.07	67.07	1004.64	86.16	446.05
11.63	41.5	1013.6	87.11	477.3
19.09	56.51	1015.58	92.56	449.24
28.61	69.84	1004.24	67.74	429.91
26.39	66.49	1012.96	60.35	433.36
20.08	44.6	1014.91	36.27	461.07
7.92	41.66	1014.84	76.12	483.38
28.08	73.42	1012.17	62.74	434
16.37	44	1024.61	78.26	460.14
32.32	67.9	1006.08	37.93	428.12
18	44.06	1016.8	78.88	454.59
16.77	45.01	1013.47	81.42	458.22
31.95	67.17	1007.11	61.58	432.6
26.92	63.73	1010.29	68.6	440.35
11.04	45.51	1017.53	83.42	474.45
12.42	41.58	1019.49	86.31	466.05
15.48	41.66	1009.55	66.74	467.06
27.89	68.12	1012.78	48.72	435.69
28.52	70.02	1010.34	54.21	441.98
20.03	62.26	1012.15	82.54	447.4
14.65	35.4	1016.16	60.26	469.61
15.34	40.73	1018.03	86.19	458.55
27.67	59.14	1016.51	61.2	433.37
30.67	77.95	1015.28	61.67	435.96
18.18	61.87	1008.64	66.28	453.1
7	35.77	1018.21	64.84	482.8
10.03	40.96	1024.57	91.1	478.79
31.26	68.94	1005.94	39.49	438.03
24.99	58.79	1016.37	67.16	439.2
20.11	51.19	1007.82	92.06	449.03
13.53	40.71	1023.83	61.59	474.7
7.4	41.04	1024.44	90.9	477.69
12.12	38.28	1013.65	90.19	471.19
28.95	66.75	1018.22	60.48	432.39
27.63	71.98	1005.45	82.88	426
10.55	41.26	1007.77	99.1	473.6
10.47	44.21	1017.87	85.34	476.02
28.32	68.12	1011.62	46.75	433.59
22.91	61.86	1012.8	92.69	441.24
20.11	51.19	1007.82	92.06	449.03
13.67	40.71	1016.19	66.15	467.62
18.97	44.85	1014.86	46.31	466.17
13.73	41.92	1031.01	64.92	466.29
24.7	44.57	1008.24	57.62	444.65
30.81	71.97	1008.36	75	430.53
26.02	74.78	1010.04	72.78	439.82
15.99	43.5	1021.34	73.22	460.7
30.16	69.34	1007.67	57.69	433.54
28.63	66.56	1005.88	64.73	427.35
19.05	59.21	1017.99	89.53	451
12.28	40.55	1005.72	98.56	472.47
29.79	62.66	1008.5	48.51	440.27
16.72	44.78	1007.75	56.79	453.39
27.71	74.34	998.14	71.85	434.2
24	75.23	1010.69	72.46	443.78
5.98	41.31	1001.66	89.5	484.51
24.27	61.47	1007.84	80.85	448.66
25.39	70.36	1006.76	73.62	436.5
26.86	68.08	1012.99	50.04	436.25
26.93	67.07	1005.65	60.26	437.76
29.86	69.34	1007.76	54.12	433.57
23.5	59.21	1018.29	63	443.31
18.03	58.86	1015.99	89.03	450.33
24.4	69.94	1005.75	58.1	438.76
21.85	59.8	1016.89	75.28	454.26
23.2	73.17	1012	89.92	438.64
32.45	66.44	1011.21	50.18	429.99
15.06	41.85	1016.78	88.23	466.72
4.49	40.27	1012.01	76.5	494.24
18.81	49.15	1020.79	67.09	459.81
16.36	53.82	1015.05	71.95	461.62
32.07	67.83	1007.91	41.61	429.31
11.92	41.2	1016.99	81.24	476
13.89	45.08	1024.64	82.29	467.74
28.18	49.3	1003.97	55.56	438.91
10.01	41.17	1018.78	86.84	479.4
21.16	50.66	1014.13	72.77	455.86
23.87	60.27	1018.94	77.16	439.86
13.77	41.58	1020.63	72.94	459.75
25.44	75.23	1010.71	66.44	436.67
30.62	66.75	1017.68	53.68	432.66
34.76	68.94	1006.75	41.31	427.42
20.06	62.1	1020.21	72.21	451.81
8.5	39.16	1014.1	86.64	485.76
28.46	69.75	1009.46	79.75	435.75
27.08	62.91	1011.9	62.58	442.91
27.98	58.33	1013.92	54.25	437.76
26.71	66.25	1008.11	79.28	435.41
9.32	37.73	1022.14	79.49	477.91
23.7	64.45	1012.87	38.24	451.16
11.22	40.22	1011.01	81.67	476.7
10.3	41.79	1021.09	49.39	471.58
26.49	61.86	1012.55	74.24	440.21
14.8	44.92	1024.06	91.67	464.01
15.12	41.79	1007.16	82.35	455.63
26.05	65.38	1009.43	52.1	449.82
26.2	63.56	1013.39	67.07	442.4
5.49	40.81	1014.43	90.41	487.36
18.22	39.63	1005.11	79	465.78
14.47	39.58	1011.31	69.85	467.34
23.66	62.08	1022.42	64.13	447.06
25.72	49.82	1016.19	60.1	452.33
23.64	71.25	1004.92	93.87	442.26
29.56	74.22	1007.45	57.46	432.84
17.85	46.48	1007.79	83.59	458.16
16.66	41.16	1007.37	76.82	463.39
25.03	57.5	1014.96	62.23	449.48
25.79	70.4	1007.11	86.03	437.98
10.82	41.55	1004.55	65.14	475.44
31.68	70.79	1004.05	54.5	429.55
26.04	74.67	1016.68	81.2	433.55
28.81	64.96	1000.46	68.05	427.91
24.01	63.56	1014.19	64.31	444.1
17.57	46.21	1014.09	80.81	453.29
20.56	64.45	1012.24	53.09	458.97
16.73	37.2	1012.94	74.04	463.89
22.03	59.43	1006.88	82.05	442.9
29.21	72.25	1012.72	71.85	434.64
25.61	60.32	1015.77	56.48	443.96
30.24	69.88	1007.9	61.46	436.37
8.51	40.78	1023.51	89.84	471.11
18.28	44.71	1016.99	33.71	462.28
10.96	41.93	1019.28	87.38	473.28
7.11	41.74	1022.35	90.68	487.85
5.45	39.04	1020.07	77.05	487.33
16	40.66	1016.12	89.23	457.12
22.81	71.85	1009.61	75.17	440.4
18.26	59.15	1012.04	86.01	451.09
25.13	68.63	1013.57	43.44	446.36
14.8	40.2	1012.87	88.35	466.27
27.63	70.17	1000.42	85.22	432.46
9	36.3	1027.11	75.89	480.31
24.13	45.61	1012.63	71.36	453.19
23.07	69.23	1011.78	76.06	437.08
8.39	36.24	1013.39	89.13	480.69
11.58	41.74	1020.41	74.09	478.06
27.95	73.5	1010.42	58.01	435.45
19.04	50.12	1010.53	100.09	446.59
22.86	47.43	1009.75	61.54	452.53
24.12	51.43	1006.55	83.77	441.49
13.86	35.71	1015.21	63.16	471.63
23.19	49.82	1014.59	70.52	451.08
15.31	41.35	1005.09	95.25	466.5
25.48	58.95	1017.02	51.16	440.42
11.19	40.64	1020.57	84.49	472.86
20	63.31	1017.06	63.1	449.68
13.11	42.99	1007.6	97	472.84
20.51	48.6	1005.29	80.7	448
10.3	41.79	1021.09	49.39	471.58
4.15	39.9	1008.84	96.68	491.22
12.12	41.17	1017.68	78.72	470.67
19.48	63.09	1019.28	78.04	449.6
22.67	64.15	1021.02	70.49	453.47
23.72	58.62	1016.65	69.1	447.49
25.24	63.47	1011.3	66.21	442.75
25.88	74.67	1016.66	81.09	434.81
24.1	68.61	1010.97	74.87	443.75
21.41	54.2	1011.37	82.28	448.11
29.34	71.98	1005.19	75.19	428.24
30.58	70.04	1010.4	48.16	431.59
16.58	38.01	1023.5	60.14	464.03
21.92	64.63	1020.42	65.22	452.49
4.32	35.47	1017.8	88.51	488.03
29.72	74.78	1009.32	55.25	438.19
